source_id,intake_type,display_name,source_group,supplied_filename_or_url,canonical_url_or_doi,related_publication,provenance_status,harvest_status,already_present_in_pipeline,existing_match_notes,next_action,notes
manual_oxytropis_asian_russia,doi,Diversity and distribution of Oxytropis DC. in Asian Russia,published_paper_with_dataset,https://doi.org/10.3897/BDJ.10.e78666,10.3897/BDJ.10.e78666,Sandanov et al. 2022. Diversity and distribution of Oxytropis DC. species in Asian Russia. Biodiversity Data Journal 10:e78666. doi:10.3897/BDJ.10.e78666,user-supplied,pending_review,no,"",Download 5172 distribution records from BDJ supplementary; taxon-specific but well-georeferenced. Map to Darwin Core and BIEN.,Data fit: Excellent but taxon-specific (Oxytropis only). 5172 distribution records. Region: Russia/Asian Russia.
manual_altb_virtual_herbarium,doi,Virtual Herbarium ALTB — Altai Mountain Country vascular plants,published_paper_with_dataset,https://doi.org/10.3897/BDJ.9.e67616,10.3897/BDJ.9.e67616,Vaganov et al. 2021. Virtual Herbarium ALTB: collection of vascular plants of the Altai Mountain Country. Biodiversity Data Journal 9:e67616. doi:10.3897/BDJ.9.e67616,user-supplied,pending_review,no,"",Fetch herbarium dataset from BDJ dataset link; map Altai Mountain Country vascular plant data to Darwin Core and BIEN.,Data fit: Excellent. Herbarium data for Altai Mountain Country including Russia/Kazakhstan/Mongolia/China. Region: Russia/Central Asia/Altai.
manual_fleroff_georef_records,doi,Fleroff goes digital — georeferenced historical vascular plant records,published_paper_with_dataset,https://doi.org/10.3897/BDJ.9.e75299,10.3897/BDJ.9.e75299,Seregin & Basov 2021. Fleroff goes digital: georeferenced records from 'Flora des Gouvernements Wladimir'. Biodiversity Data Journal 9:e75299. doi:10.3897/BDJ.9.e75299,user-supplied,pending_review,no,"",Download georeferenced historical vascular plant records from BDJ dataset page; map to Darwin Core and BIEN.,Data fit: Good. Historical georeferenced vascular plant records for Russia. Region: Russia.
manual_kyrgyzstan_alien_plants,doi,First checklist of alien vascular plants of Kyrgyzstan,published_paper_with_dataset,https://doi.org/10.3897/BDJ.9.e75590,10.3897/BDJ.9.e75590,"Sennikov & Lazkov 2021. The first checklist of alien vascular plants of Kyrgyzstan, contribution 1. Biodiversity Data Journal 9:e75590. doi:10.3897/BDJ.9.e75590",user-supplied,pending_review,no,"",Obtain checklist and associated occurrence records from BDJ; map to Darwin Core and BIEN.,Data fit: Good. Checklist plus occurrence records for Kyrgyzstan. Region: Central Asia/Kyrgyzstan.
manual_kyrgyzstan_dryad_2025,dryad_dataset,Taxonomic corrections and new records for vascular plants of Kyrgyzstan — Dryad dataset,dryad_dataset,https://doi.org/10.5061/dryad.x3ffbg7wt,10.5061/dryad.x3ffbg7wt,Sennikov & Lazkov 2025. Taxonomic corrections and new records for vascular plants of Kyrgyzstan. Dryad dataset doi:10.5061/dryad.x3ffbg7wt. Darwin Core format.,user-supplied,pending_review,no,"",Download from Dryad (already in Darwin Core format); run through compile pipeline and map to BIEN schema. High priority — DwC-ready.,Data fit: Good. Dryad dataset in Darwin Core format. Region: Central Asia/Kyrgyzstan.
manual_flora_mongolia_inaturalist,doi,Flora of Mongolia — iNaturalist plant observations,published_paper_with_dataset,https://doi.org/10.1002/ppp3.70054,10.1002/ppp3.70054,Baasanmunkh et al. 2025. iNaturalist projects represent a valuable resource for aggregating plant observations: Flora of Mongolia. Plants People Planet. doi:10.1002/ppp3.70054,user-supplied,pending_review,no,"",Identify associated iNaturalist project or dataset download link from paper; map recent plant observations for Mongolia to Darwin Core and BIEN.,Data fit: Excellent for recent observation data. Region: Central Asia/Mongolia.
manual_lesser_sunda_endemics,doi,Vouchered and georeferenced checklist of endemic vascular plants of the Lesser Sunda Islands,published_paper_with_dataset,https://doi.org/10.3897/phytokeys.273.184780,10.3897/phytokeys.273.184780,Jennings et al. 2026. A vouchered and georeferenced checklist of endemic vascular plants of the Lesser Sunda Islands. PhytoKeys 273. doi:10.3897/phytokeys.273.184780,user-supplied,pending_review,no,"",Fetch dataset from PhytoKeys supplementary; map vouchered/georeferenced endemic plant data for Lesser Sunda Islands to Darwin Core and BIEN.,Data fit: Excellent. Vouchered georeferenced endemic plant checklist. Region: Southeast Asia/Lesser Sunda Islands.
manual_sunda_sahul_checklist,doi,Checklist of vascular flora of the Sunda-Sahul Convergence Zone,published_paper_with_dataset,https://doi.org/10.3897/BDJ.8.e51094,10.3897/BDJ.8.e51094,Joyce et al. 2020. Checklist of the vascular flora of the Sunda-Sahul Convergence Zone. Biodiversity Data Journal 8:e51094. doi:10.3897/BDJ.8.e51094,user-supplied,pending_review,no,"",Determine if point occurrence data accompanies this checklist or if it serves best as regional taxonomic backbone; map available data to Darwin Core.,Data fit: Strong checklist; best used as regional taxonomic backbone. Region: Southeast Asia/Sunda-Sahul.
manual_sunda_sahul_suppl_dataset,doi,Joyce et al. 2020 supplementary checklist dataset — Sunda-Sahul,published_paper_with_dataset,https://doi.org/10.3897/BDJ.8.e51094.suppl1,10.3897/BDJ.8.e51094.suppl1,Joyce et al. 2020. Supplementary dataset for Sunda-Sahul Convergence Zone vascular flora checklist. doi:10.3897/BDJ.8.e51094.suppl1,user-supplied,pending_review,no,"",Download supplementary dataset directly; parse tabular data for occurrence records with coordinates. Map to Darwin Core and BIEN.,Data fit: Dataset DOI — download and inspect for occurrence coordinates. Region: Southeast Asia/Sunda-Sahul.
manual_myanmar_vascular_checklist,doi,Updated checklist of vascular plants of Myanmar,published_paper_with_dataset,https://doi.org/10.3897/phytokeys.261.154986,10.3897/phytokeys.261.154986,Aung et al. 2025. An updated checklist of vascular plants of Myanmar. PhytoKeys 261. doi:10.3897/phytokeys.261.154986,user-supplied,pending_review,no,"",Primarily a checklist — determine if georeferenced point occurrence records accompany the publication; use as taxonomic backbone if no coordinates.,Data fit: Checklist not primarily point occurrence data; useful as taxonomic backbone. Region: Southeast Asia/Myanmar.
manual_flora_sumatra_gbif_main,gbif_occurrence_dataset,Flora of Sumatra — vascular plant collection ANDA Herbarium (selected families),gbif_occurrence_dataset,https://www.gbif.org/dataset/10.15468/sncpxn,10.15468/sncpxn,Flora of Sumatra: vascular plant collection of selected families deposited at Herbarium of Andalas University (ANDA). GBIF occurrence dataset.,user-supplied,pending_review,no,"",Download via GBIF API using dataset DOI 10.15468/sncpxn; map herbarium specimen occurrences to Darwin Core and BIEN.,Data fit: Excellent. GBIF herbarium occurrence/specimen dataset. Region: Southeast Asia/Sumatra.
manual_flora_sumatra_gbif_anda2,gbif_occurrence_dataset,Flora Sumatra — digitizing ANDA Herbarium specimens Part 2,gbif_occurrence_dataset,https://www.gbif.org/dataset/10.15468/55evew,10.15468/55evew,"Flora Sumatra: digitizing and databasing specimens of the Sumatran Flora, ANDA Part 2. GBIF occurrence dataset.",user-supplied,pending_review,no,"",Download via GBIF API using dataset DOI 10.15468/55evew; map to Darwin Core and BIEN.,Data fit: Excellent. GBIF herbarium occurrence/specimen dataset. Region: Southeast Asia/Sumatra.
manual_flora_sumatra_batang_toru,gbif_occurrence_dataset,Flora of Sumatra — Batang Toru Forest ANDA Herbarium specimens,gbif_occurrence_dataset,https://www.gbif.org/dataset/10.15468/ue7xyn,10.15468/ue7xyn,Flora of Sumatra: vascular plant collection from Batang Toru Forest deposited in ANDA Herbarium. GBIF occurrence dataset.,user-supplied,pending_review,no,"",Download via GBIF API using dataset DOI 10.15468/ue7xyn; map to Darwin Core and BIEN.,Data fit: Excellent. GBIF herbarium occurrence/specimen dataset. Region: Southeast Asia/Sumatra.
manual_paciflora_bdj,doi,Pacific Introduced Flora — PacIFlora island plant distributions,published_paper_with_dataset,https://doi.org/10.3897/BDJ.9.e67318,10.3897/BDJ.9.e67318,Wohlwend et al. 2021. Pacific Introduced Flora / PacIFlora. Biodiversity Data Journal 9:e67318. doi:10.3897/BDJ.9.e67318,user-supplied,pending_review,no,"",Download PacIFlora data from BDJ or associated Dryad deposit; note that data may be island-level distributions rather than point coordinates. Map available occurrence data to Darwin Core and BIEN.,Data fit: Good for island-level naturalized plant distributions; not necessarily georeferenced point coordinates. Region: Pacific Islands.
manual_paciflora_dryad,dryad_dataset,Pacific Introduced Flora — PacIFlora Dryad dataset,dryad_dataset,https://doi.org/10.5061/dryad.qfttdz0hd,10.5061/dryad.qfttdz0hd,Wohlwend et al. 2021. Data: Pacific Introduced Flora. Dryad dataset doi:10.5061/dryad.qfttdz0hd.,user-supplied,pending_review,no,"",Download from Dryad; inspect tabular files for georeferenced occurrence records; map to Darwin Core and BIEN.,Data fit: Dataset DOI for PacIFlora. Region: Pacific Islands.
manual_southern_islands_flora_paper,doi,Southern Islands Vascular Flora — Guerrero et al. 2025,published_paper_with_dataset,https://doi.org/10.1038/s41597-025-04702-9,10.1038/s41597-025-04702-9,Guerrero et al. 2025. Southern Islands Vascular Flora dataset. Scientific Data. doi:10.1038/s41597-025-04702-9,user-supplied,pending_review,no,"",Download dataset from Zenodo (see SIVFLORA Zenodo DOI 10.5281/zenodo.13997147); map to Darwin Core and BIEN.,Data fit: Excellent. Southern Ocean island plant database. Region: Southern Ocean/Pacific-adjacent islands.
manual_sivflora_zenodo,zenodo_dataset,SIVFLORA — Southern Islands Vascular Flora database (Zenodo),zenodo_dataset,https://doi.org/10.5281/zenodo.13997147,10.5281/zenodo.13997147,SIVFLORA: Southern Islands Vascular Flora database. Zenodo dataset doi:10.5281/zenodo.13997147.,user-supplied,pending_review,no,"",Download from Zenodo and run through zenodo compile pipeline; map to Darwin Core and BIEN.,Data fit: Excellent. Dataset DOI for SIVFLORA. Region: Southern Ocean/Pacific-adjacent islands.
manual_amazon_checklist_cardoso,doi,Amazon plant diversity — taxonomically verified species list,published_paper_with_dataset,https://doi.org/10.1073/pnas.1706756114,10.1073/pnas.1706756114,Cardoso et al. 2017. Amazon plant diversity revealed by a taxonomically verified species list. PNAS 114. doi:10.1073/pnas.1706756114,user-supplied,pending_review,no,"",Primarily a voucher-based seed-plant checklist — determine if georeferenced occurrence records accompany the paper or exist in a GBIF deposit; use as Amazon taxonomic backbone if no coordinates.,Data fit: Strong checklist based on vouchers; not primarily a point-coordinate occurrence dataset. Region: Amazon.
manual_colombia_bioregions_bystriakova,doi,Colombia bioregions as a source of useful plants,published_paper_with_dataset,https://doi.org/10.1371/journal.pone.0256457,10.1371/journal.pone.0256457,Bystriakova et al. 2021. Colombia's bioregions as a source of useful plants. PLoS ONE 16. doi:10.1371/journal.pone.0256457,user-supplied,pending_review,no,"",Fetch georeferenced vascular plant collection localities from paper supplementary or associated data deposit; includes Amazon bioregion Colombia. Map to Darwin Core and BIEN.,Data fit: Good. Uses georeferenced vascular plant collection localities; includes Amazon bioregion. Region: Amazon/Colombia.
manual_theobroma_occurrences,doi,Preserved specimen occurrences of Theobroma and Herrania,published_paper_with_dataset,https://doi.org/10.3897/BDJ.11.e99646,10.3897/BDJ.11.e99646,Colli-Silva et al. 2023. A taxonomic dataset of preserved specimen occurrences of Theobroma and Herrania. Biodiversity Data Journal 11:e99646. doi:10.3897/BDJ.11.e99646,user-supplied,pending_review,no,"",Download specimen occurrence dataset from BDJ; taxon-specific (Theobroma/Herrania only) but well-georeferenced. Map to Darwin Core and BIEN.,Data fit: Good but taxon-specific (Theobroma/Herrania only). Includes Amazonian cacao relatives. Region: Brazil/Amazon-adjacent.
manual_pucv_herbarium_chile_bdj,doi,Herbarium collection of Pontificia Universidad Catolica de Valparaiso (PUCV) Chile,published_paper_with_dataset,https://doi.org/10.3897/BDJ.10.e90591,10.3897/BDJ.10.e90591,"Cordero et al. 2022. Herbarium collection of the Pontificia Universidad Catolica de Valparaiso, Chile. Biodiversity Data Journal 10:e90591. doi:10.3897/BDJ.10.e90591",user-supplied,pending_review,no,"",Download 10721 Chilean vascular plant specimens from BDJ dataset or associated GBIF deposit; map to Darwin Core and BIEN.,Data fit: Excellent. 10721 specimens from Chilean vascular flora. Region: Chile.
manual_pucv_herbarium_gbif,gbif_occurrence_dataset,Vascular flora from PUCV Herbarium — GBIF occurrence dataset,gbif_occurrence_dataset,https://www.gbif.org/dataset/10.15468/k485f5,10.15468/k485f5,Vascular flora from the PUCV Herbarium. GBIF occurrence dataset. doi:10.15468/k485f5,user-supplied,pending_review,no,"",Download via GBIF API using dataset DOI 10.15468/k485f5; map to Darwin Core and BIEN.,Data fit: Excellent. GBIF occurrence dataset. Region: Chile.
manual_luebert_chile_diversity,doi,Geographic patterns of vascular plant diversity and endemism in Chile,published_paper_with_dataset,https://doi.org/10.3390/d14040271,10.3390/d14040271,Luebert et al. 2022. Geographic patterns of vascular plant diversity and endemism using different taxonomic and spatial units. Diversity 14(4):271. doi:10.3390/d14040271,user-supplied,pending_review,no,"",Identify and download the 181796 unique occurrence records used in this analysis from associated data repository or GBIF; map to Darwin Core and BIEN.,Data fit: Excellent analytical paper using 181796 unique occurrence records for Chile. Region: Chile.
manual_arroyo_high_andes_chile,doi,Vascular plant composition along elevation gradients in High Andes of Central Chile,published_paper_with_dataset,https://doi.org/10.1016/j.dib.2024.111128,10.1016/j.dib.2024.111128,Arroyo et al. 2024. Data on vascular plant species composition along two elevation gradients in the high Andes of central Chile. Data in Brief. doi:10.1016/j.dib.2024.111128,user-supplied,pending_review,no,"",Download plot-level georeferenced vascular plant data from Data in Brief repository or linked data deposit; map to Darwin Core and BIEN.,Data fit: Excellent. Plot-level georeferenced vascular plant data along two elevation gradients. Region: Chile/High Andes.
manual_subantarctic_chile_potential,url,Potential vascular plant diversity in sub-Antarctic regions of Aysen and Magallanes,gbif_occurrence_dataset,https://www.gbif.org/dataset/,,Sub-Antarctic Chile vascular flora. GBIF/IPT dataset. 4476 occurrence records most georeferenced. No stable DOI confirmed at time of intake.,user-supplied,pending_review,no,"",Locate stable GBIF dataset DOI for sub-Antarctic Aysen and Magallanes Chile dataset; then download and map to Darwin Core and BIEN. 4476 georeferenced records expected.,Data fit: Good. 4476 occurrence records mostly georeferenced. No stable DOI confirmed — requires DOI resolution first. Region: Chile/sub-Antarctic.
