source_id,display_name,source_group,intake_type,canonical_url_or_doi,priority_tier,observation_readiness,likely_already_in_bien,likely_bien_reason,queue_reason,recommended_next_action
manual_dryflor_seasonally_dry_tropical_forest,DryFlor — Latin American Seasonally Dry Tropical Forest Floristic Network,vegetation_plot_database,url,http://www.dryflor.info/,P1,direct_observation,possible,DryFlor network may partially overlap tropical dry-forest ingests,Floristic network with direct plot/occurrence utility,Acquire DryFlor data package and map occurrence/plot schema
manual_ecat_central_africa,ECAT: endemic and sub-endemic trees of Central Africa,published_paper_with_dataset,doi,10.3897/phytokeys.206.77379,P1,direct_observation,possible,Regional specimen dataset; overlap uncertain in existing BIEN Africa holdings,Peer-reviewed DOI with specimen occurrences and clear geographies,Locate downloadable occurrence table from paper supplement and test schema
manual_gloria_alpine_plant_network,GLORIA — Global Observation Research Initiative in Alpine Environments,vegetation_plot_database,url,https://www.gloria.ac.at/,P1,direct_observation,possible,GLORIA alpine plots may have partial overlap via existing plot imports,Global alpine network provides standardized plot observations,Request GLORIA export and standardize repeated plot observations
manual_inventario_nacional_bosques_nativos_argentina,Inventario Nacional de Bosques Nativos — Argentina national forest monitoring,national_forest_inventory,url,https://www.argentina.gob.ar/jefatura/turismo-y-ambiente/ambiente/recursos-naturales/sistema-nacional-de-monitoreo-de-bosques-8,P1,direct_observation,possible,National forest inventory may partially overlap existing inventories,National monitoring inventory with direct observation relevance,Locate public NFI downloads and ingest observation-level records
manual_pucv_herbarium_chile_bdj,Herbarium collection of Pontificia Universidad Catolica de Valparaiso (PUCV) Chile,published_paper_with_dataset,doi,10.3897/BDJ.10.e90591,P1,direct_observation,possible,Institutional herbarium likely partly propagated through global aggregators,Large herbarium collection with specimen-level records,Acquire herbarium export and map collector/catalog fields
manual_syntreesys_cesab,SYNTREESYS — Latin American synthetic tree plot database (CESAB/FRB),vegetation_plot_database,url,https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/syntreesys/,P1,direct_observation,possible,CESAB synthesis may overlap Latin American network ingests,Synthetic tree plots with direct observation potential,Obtain SYNTREESYS export and map plot records
manual_theobroma_occurrences,Preserved specimen occurrences of Theobroma and Herrania,published_paper_with_dataset,doi,10.3897/BDJ.11.e99646,P1,direct_observation,possible,Specimen occurrence paper may overlap GBIF-linked herbarium pipelines,Direct preserved specimen occurrences in scope taxa,Download occurrence supplement and standardize preservedSpecimen records
manual_enquist_macrosystems_gentry_plots,Enquist Lab plot data — Forest Macrosystems and additional Gentry plots,vegetation_plot_database,url,https://www.forestmacrosystems.org/methods/,P1,direct_observation,yes,Enquist Lab macrosystems and Gentry plots are already BIEN-adjacent,Internal lab plot assets are direct observation records,Coordinate with existing BIEN owners and ingest any missing records only
manual_flora_mongolia_inaturalist,Flora of Mongolia — iNaturalist plant observations,published_paper_with_dataset,doi,10.1002/ppp3.70054,P1,direct_observation,yes,iNaturalist records are commonly represented through GBIF-linked ingest,Direct observation dataset from citizen-science platform,Pull export from iNaturalist/GBIF and run overlap check by eventDate+coords+taxon
manual_flora_russia_inaturalist,Flora of Russia on iNaturalist citizen-science dataset,published_paper_with_dataset,doi,10.3897/BDJ.8.e59249,P1,direct_observation,yes,iNaturalist feed is commonly syndicated via GBIF pathways used by BIEN,Large direct observation stream with explicit occurrence records,Resolve iNaturalist export endpoint and deduplicate against BIEN occurrence keys
manual_southern_islands_flora_paper,Southern Islands Vascular Flora — Guerrero et al. 2025,published_paper_with_dataset,doi,10.1038/s41597-025-04702-9,P2,likely_observation,no,Recent Southern Islands dataset appears less likely already integrated,Strong dataset signal but may require supplement retrieval,Obtain data package from article resources and profile fields
manual_subantarctic_chile_potential,Potential vascular plant diversity in sub-Antarctic regions of Aysen and Magallanes,gbif_occurrence_dataset,url,"",P2,likely_observation,no,Sub-Antarctic occurrence compilation appears unlikely to be pre-ingested,Occurrence compilation with unresolved DOI and extraction steps,Resolve stable data endpoint then ingest georeferenced records
manual_colombia_bioregions_bystriakova,Colombia bioregions as a source of useful plants,published_paper_with_dataset,doi,10.1371/journal.pone.0256457,P2,likely_observation,possible,Georeferenced localities may overlap other Colombian occurrence feeds,Uses georeferenced collection localities; extraction required,Extract locality table and prioritize Amazon georeferenced subset
manual_fleroff_georef_records,Fleroff goes digital — georeferenced historical vascular plant records,published_paper_with_dataset,doi,10.3897/BDJ.9.e75299,P2,likely_observation,possible,Historical georeferenced records may be partially covered via GBIF exports,Georeferenced records available but needs extraction workflow,Extract georeferenced records from supplement and normalize locality fields
manual_kyrgyzstan_alien_plants,First checklist of alien vascular plants of Kyrgyzstan,published_paper_with_dataset,doi,10.3897/BDJ.9.e75590,P2,likely_observation,possible,Checklist with some occurrences; overlap uncertain,Contains occurrences mixed with checklist framing,Retrieve supplementary tables; keep only rows with coordinates or specimen ids
manual_lesser_sunda_endemics,Vouchered and georeferenced checklist of endemic vascular plants of the Lesser Sunda Islands,published_paper_with_dataset,doi,10.3897/phytokeys.273.184780,P2,likely_observation,possible,Vouchered records may overlap with global aggregator harvests,Vouchered georeferenced records; likely extractable from supplements,Download supplement DOI payload and validate coordinate coverage
manual_luebert_chile_diversity,Geographic patterns of vascular plant diversity and endemism in Chile,published_paper_with_dataset,doi,10.3390/d14040271,P2,likely_observation,possible,Analytical occurrence compilation may duplicate already ingested records,Occurrence-derived study likely needs backtracking to raw records,Backtrack cited raw occurrence repositories and ingest source records
manual_oxytropis_asian_russia,Diversity and distribution of Oxytropis DC. in Asian Russia,published_paper_with_dataset,doi,10.3897/BDJ.10.e78666,P2,likely_observation,possible,Taxon-specific Eurasian occurrences may be partially represented already,Occurrence-rich but narrow taxonomic scope,Download supplement and map Oxytropis records into Darwin Core
manual_sunda_sahul_suppl_dataset,Joyce et al. 2020 supplementary checklist dataset — Sunda-Sahul,published_paper_with_dataset,doi,10.3897/BDJ.8.e51094.suppl1,P2,likely_observation,possible,Supplement DOI likely distinct but may share taxon list overlap,Supplementary dataset may contain usable occurrence coordinates,Download supplementary dataset and confirm presence of coordinates
manual_science_i_global_forest_biodiversity,Global Forest Biodiversity Initiative — Science-i platform,vegetation_plot_database,url,https://science-i.org/,P2,likely_observation,yes,Global forest platform likely already intersecting BIEN workflows,Platform likely useful but may require access negotiation,Confirm access policy; ingest only downloadable observation-level exports
manual_tubives_turkish_plants,TUBIVES — Turkish plant database (coarse grid species lists),vegetation_plot_database,url,https://nadidem.net/flora/www.tubives.com/,P3,salvageable,no,Coarse checklist/grid product unlikely to be directly in BIEN,Coarse list product retained as potential bridge to observations,Seek underlying occurrence datasets beyond coarse checklists
manual_amazon_checklist_cardoso,Amazon plant diversity — taxonomically verified species list,published_paper_with_dataset,doi,10.1073/pnas.1706756114,P3,salvageable,possible,Amazon checklist likely overlaps existing BIEN taxonomic backbones,Checklist-dominant source retained for linked voucher discovery,Mine cited vouchers/herbaria for raw occurrence tables
manual_asean_biodiversity_rbim,ASEAN Biodiversity Information Management — Regional Biodiversity Information Management,regional_database_overview,url,https://bkmd.aseanbiodiversity.org/dashboard/rbim.php,P3,salvageable,possible,Regional portal likely overlaps other ASEAN/GBIF pathways,Portal-style source retained only as linkage lead,Use portal to identify downloadable observation datasets
manual_myanmar_vascular_checklist,Updated checklist of vascular plants of Myanmar,published_paper_with_dataset,doi,10.3897/phytokeys.261.154986,P3,salvageable,possible,Checklist-focused source likely partially represented via other pathways,Checklist source retained only for follow-up links,Use for species backbone; locate linked occurrences before ingestion
manual_paciflora_bdj,Pacific Introduced Flora — PacIFlora island plant distributions,published_paper_with_dataset,doi,10.3897/BDJ.9.e67318,P3,salvageable,possible,Island distribution checklist may overlap with regional checklists,Island-level distributions likely need follow-up for point records,Trace linked repositories for georeferenced observations
manual_sunda_sahul_checklist,Checklist of vascular flora of the Sunda-Sahul Convergence Zone,published_paper_with_dataset,doi,10.3897/BDJ.8.e51094,P3,salvageable,possible,Checklist backbone likely overlaps via regional flora harmonization,Checklist-focused source retained only as discovery lead,Use as taxonomic scaffold; search linked repositories for point observations
manual_caff_flora_group_arctic,CAFF Flora Group — overview of national arctic plant databases,regional_database_overview,url,https://www.caff.is/work/projects/cfg-caffs-flora-group/,P3,salvageable,yes,CAFF is an overview portal and likely represented indirectly,Aggregator overview retained only for downstream dataset discovery,Follow CAFF links to dataset-level downloads with coordinates
manual_givd_global_index_vegetation_databases,GIVD — Global Index of Vegetation Plot Databases (overview registry),vegetation_plot_database_registry,url,https://www.givd.info/,P3,salvageable,yes,GIVD is an index and likely already used for discovery in BIEN,Registry source retained only to find actual datasets,Treat as registry only; queue discovered datasets instead
